id,postUrl,message,cta,intents
156938,https://twitter.com/gregorybayne/status/844733596027936768,"True. Though, I think it might need to expand to the entire globe. Humans can be an odd, sad, forgetful lot, the woâ€_ https://t.co/FjygZI7qH5",,
156939,https://twitter.com/gregorybayne/status/844731383725510656,So good. https://t.co/7SdRcoUuBw,,
156940,https://twitter.com/gregorybayne/status/844712421361176577,"That moment when you look up and the clock says ""drinking is considered universally acceptable now.""",,
156941,https://twitter.com/gregorybayne/status/844712371792809985,"RT @washingtonpost: How sketching a dying father led Daniel Clowes to his quirky new film ""Wilson"" https://t.co/Nne8lrH8Sd",,
156942,https://twitter.com/gregorybayne/status/844568797503643649,#6DynamicLaws â€¢ Exclusive Clip â€¢ Meet the Sisters Duffrey. https://t.co/8XR3b713Wv https://t.co/I6WsXW7Xob,,
156943,https://twitter.com/gregorybayne/status/844398105114087424,"And, thank you lovely internet. 102 strong for #6DynamicLaws. Onward we go!",,
156944,https://twitter.com/gregorybayne/status/844384466629943296,Make that 1 backers shy of 100 strong...,,
156945,https://twitter.com/gregorybayne/status/844383253767208960,"My new film #6DynamicLaws is 2 backers shy of 100 strong. I'd love to have you on board. It's a fun ride, promise. https://t.co/8XR3b713Wv",,
156946,https://twitter.com/gregorybayne/status/844327959452299264,"Last June shooting #6dynamiclaws I'm sure explaining something very, very important. Photo credâ€_ https://t.co/6f3sw2Z3Ls",,
156947,https://twitter.com/gregorybayne/status/844326144686010369,I can't tell you how excited I am to read the news again once this campaign is over.,,
156948,https://twitter.com/gregorybayne/status/844204254868914176,Very excited to be part of @filmfortfest with a special *free* work in progress screening ofâ€_ https://t.co/Ncqm0uWAkw,,
156949,https://twitter.com/gregorybayne/status/844199654564622336,"8 Backers away from 100 strong for #6DynamicLaws. TY! Also, just 9 days &amp; change until I stop posting about it ;) https://t.co/8XR3b713Wv",,
156950,https://twitter.com/gregorybayne/status/844056837766836224,Two of the kindest folks you'll ever make a film with: @LafleurJennifer &amp; @PartridgeRoss. #6DynamicLaws Whole videoâ€_ https://t.co/wmVo8WHvuB,,
156951,https://twitter.com/gregorybayne/status/843958085530005504,"Two of my favorite people, @saraannelynch &amp; Lisa King Hawkes in #6DynamicLaws as The Sisters Duffrey.â€_ https://t.co/J4QxNGkETS",,
156952,https://twitter.com/gregorybayne/status/843903276030480384,"Thank you, Carmen! https://t.co/64mpzi2xHf",,
156953,https://twitter.com/gregorybayne/status/843894098973011968,"We're just 12 backers away from 100 strong for #6DynamicLaws! What does this mean? Click here, my friend: https://t.co/8XR3b713Wv",,
156954,https://twitter.com/gregorybayne/status/843893086073704449,#Boise! The lovely folks @filmfortfest are hosting a special work-in-progress screening of #6DynamicLaws! Join us! https://t.co/wfElP65Xuz,,
156955,https://twitter.com/gregorybayne/status/843877010552180736,"The ease you feel when you only have $29,959 left to raise to complete/release your new film &amp; 10 days to do it in. https://t.co/8XR3b713Wv",,
156956,https://twitter.com/gregorybayne/status/843821496573218816,Love film noir? Enjoy a good screwball comedy? Why not have your cake &amp; eat it too with #6DynamicLaws. Learn more:â€_ https://t.co/FFGzmFPLs2,,
156957,https://twitter.com/gregorybayne/status/843662988825436160,The look you get when you realize you have 10 days left to raise $30K to finish your film! PC-Lila Streicher.â€_ https://t.co/hpAZf3sRle,,
156958,https://twitter.com/gregorybayne/status/843568833067544577,That one time talked @lafleurjennifer into shooting a movie in 100 degree heat in a (mostly?) polyester dress.â€_ https://t.co/jCXtkOQxmE,,
156959,https://twitter.com/gregorybayne/status/843143895865212928,"81 Backers strong &amp; 30% funded this morn for #6DynamicLaws! TY everyone! If you haven't yet, kindly click &amp; share &gt; https://t.co/8XR3b713Wv",,
156960,https://twitter.com/gregorybayne/status/842882919844593664,"Tech run through. Going live in 30 mins, showing clips at 7! Esta at Club 511 #Ketchumâ€_ https://t.co/Ly8wRU9lEY",,
156961,https://twitter.com/gregorybayne/status/842819938800738304,"Thank you, Emma! https://t.co/tpu0DhqXmJ",,
156962,https://twitter.com/gregorybayne/status/842811858000076800,Wandering Ketchum w/ a blu-ray player on my back for a fundraiser tonight &amp; can't get the movie Ed Wood outta my head. #onlyalittlenervous,,
156963,https://twitter.com/gregorybayne/status/842785924828209152,No rest here. Final prep for tonight's #fundraiser for #6dynamiclaws in #Ketchum. #filmmakingâ€_ https://t.co/4cQZc2XIlG,,
156964,https://twitter.com/gregorybayne/status/842598942126755840,"RT @movieangel: Make it happen for @gregorybayne's new Project! Get on board &amp; become a backer, join me! https://t.co/0Hosc6njxj",,
156965,https://twitter.com/gregorybayne/status/842561955445461001,@milesmaker Goddamned right we are.,,
156966,https://twitter.com/gregorybayne/status/842560851156451328,"@milesmaker It is. Search ""person of interest movie"" on YouTube. Seriously though. I know you know the struggle. Thank you.",,
156967,https://twitter.com/gregorybayne/status/842559470139916288,"Man, thank you. That made my day. https://t.co/zRBW0Rm1H2",,
156968,https://twitter.com/gregorybayne/status/842427642137595905,You are too kind. Thank you! https://t.co/5iQX3tjlga,,
156969,https://twitter.com/gregorybayne/status/842423965423345664,"""6 Dynamic Laws for Success (in Life, Love &amp; Money)"" - Exclusive Clip - ... https://t.co/VtqtgZHsqX via @YouTube",,
156970,https://twitter.com/gregorybayne/status/842421197673443328,"""6 Dynamic Laws for Success (in Life, Love &amp; Money)"" - Behind the Scenes w/@Clockriders  https://t.co/qoi3U0weGb via @YouTube",,
156971,https://twitter.com/gregorybayne/status/842420821175885824,25 backers shy of an even 100 for #6DynamicLaws. Thank you! Who'll join in to help us reach that milestone today? https://t.co/8XR3b713Wv,,
156972,https://twitter.com/gregorybayne/status/842414662431907840,"""6 Dynamic Laws for Success, (in Life, Love &amp; Money)"" - Interview with @RyanBayneMusic https://t.co/GvRkQ0J2ZS via @YouTube",,
156973,https://twitter.com/gregorybayne/status/842410174962782209,"""6 Dynamic Laws for Success, (in Life, Love &amp; Money)"" - Kickstarter Trailer https://t.co/AO93xk8MAJ via @YouTube",,
