Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Incarnate,Church,254,9,Type 3 15/na,SkeletonHandLLC,"incarnategame, skeletonhandllc",,,Done,In Progress,,3,15,0
The Flying Joe Coffee Truck,Church,256,8,Type 3 43/na,theflyingjoe,theflyingjoe,theflyingjoe,,Done,In Progress,,3,43,0
Photographers Squared,Church,257,12,Type 4 108/88,"TsirkusFoto, mindyveissidphotography, Photographers-Squared-1485021148428801",mindyveissid,"raftog, mveissid",,In Progress,,,4,108,88
Spot360,Church,258,5,Type 4 104/98,noxgear,noxgear,,noxgearLLC,Done,In Progress,Outlier?,4,104,98
Spoolee,Church,259,5,Type 2 627/5,gospoolee,"raywalkerdesign, GoSpoolee",gospoolee,,Done,In Progress,,2,627,5
"Art Without a Roof, Threads for Change",Jessica,260,6,Type 4 100/100,,artwithoutaroof,,,Done,,,4,100,100
Ditto,Church,261,14,Type 1 129/79,dittowearable,dittowearable,,,Done,,,1,129,79
Verdigris,Church,262,15,Type 2 160/66,"Jim-Beaver-254377915494, VerdigrisThePlay",verdigrisplay,,,Done,,,2,160,66
The Feast Project,Church,263,5,Type 2 107/53,andyrawlswoodcraft,,ar_txwoodcraft,UCBwNg2ZtfQAY4zvBbryDyAQ,In Progress,,,2,107,53
Handmade PEARL,Zoe,264,6,Type 4 100/97,"Jordan Pirch
Breanna Watje-Pirch
Saving Pearls",@breanna_pirch,"savingpearls 
breanna_pirch
",Jordan Pirch,In Progress,,,4,100,97
Flagship Grill Pan,Zoe,265,8,Type 4 100/91,Flagshipgrill,@flagshipgrill,,Flagship Grill,In Progress,,,4,100,91
Hope Where There Was None by Loud Harp,Lauren,266,11,Type 2 135/67,Loudharp,loudharp,loudharp,UCLj2TTUFxu7TWPvHoM_n_nQ,In Progress,,,2,135,67
"Holidolls, affordable luxury for self-made women",Lauren,267,6,Type 3 28/na,holidolls,holidolls,holidolls.swimgerie,,In Progress,,,3,28,0
Documentary Double Feature Premiere by Lemony Media,Lauren,268,7,Type 4 147/75,Lemony-Media-1606633076261053,,lemonymedia,,In Progress,,,4,147,75
SignalWear: World's First Smart Motorcycle Gloves for Safety,Lauren,270,14,Type 3 26/na,signalwear,signalwear,,UCnx9ZvGWqemWHjKpsiEDgrw,In Progress,,,3,26,0
Devoted; an Interactive Art Installation at Burning Man 2017,Lauren,271,1,Type 4 101/84,,devotedburner,,,In Progress,,no posts during campaign period,4,101,84
#Weareunstopable | 6 ethical pieces for vacay to everyday,Lauren,272,6,Type 4 105/90,milonicki,milonicki_,milonicki,,In Progress,,,4,105,90
Inner Compass cards: a new way of self-reflection,Lauren,273,13,Type 2 250/10,innercompasscards,,innercompasscards,UC7avetckPaOydmA_XhQOMcA,In Progress,,,2,250,10
"Cary, the best keychain holder ",Lauren,274,5,Type 2 134/71,tallachouse,tallachouse1,,,In Progress,,,2,134,71
"""Dannata Bellezza"" by Tweed Collective",Lauren,275,15,Type 3 130/35,tweedcollective,,tweed_collective17,,In Progress,,,3,130,0
iPad Pro - ProBack Cover | Charge Your Apple Pencil,Lauren,276,5,Type 2 104/70,tikainnovation,,tikainnovation,UCoAyucsd0YYdCjDXhhDQxNQ,In Progress,,,2,104,70
